KEGG ID,InChIKey,InChIKey14
C10445,YDDUMTOHNYZQPO-RVXRWRFUSA-N,YDDUMTOHNYZQPO
C03200,DBTMGCOVALSLOR-DWOXCESXSA-N,DBTMGCOVALSLOR
C00938,,
C07874,HNSDLXPSAYFUHK-UHFFFAOYSA-N,HNSDLXPSAYFUHK
C01871,LOZWAPSEEHRYPG-UHFFFAOYSA-N,LOZWAPSEEHRYPG
C03473,CDQPLIAKRDYOCB-UHFFFAOYSA-N,CDQPLIAKRDYOCB
C10544,NATDFORNCKZPCI-FPHUIIFBSA-N,NATDFORNCKZPCI
C09019,APHMCINPFLAAQH-NCYKPQTJSA-N,APHMCINPFLAAQH
C11563,PEWFNMCLKSQIOA-UHFFFAOYSA-N,PEWFNMCLKSQIOA
C10432,IQRPXVABWMLCMZ-LOMYTOQZSA-N,IQRPXVABWMLCMZ
C10433,WQSDYZZEIBAPIN-VBQORRLJSA-N,WQSDYZZEIBAPIN
C06669,BSIMZHVOQZIAOY-SCSAIBSYSA-N,BSIMZHVOQZIAOY
C11560,OMHHJCAKLOMROZ-UHFFFAOYSA-N,OMHHJCAKLOMROZ
C05678,RTTXIBKRJFIBBG-UHFFFAOYSA-N,RTTXIBKRJFIBBG
C10071,JUHXHWKPHWGZKL-UHFFFAOYSA-N,JUHXHWKPHWGZKL
C11310,FMGYKKMPNATWHP-UHFFFAOYSA-N,FMGYKKMPNATWHP
C10976,IYBOGQYZTIIPNI-UHFFFAOYSA-N,IYBOGQYZTIIPNI
C09526,IHYLMNWQQGXGJT-TYVJZBCKSA-N,IHYLMNWQQGXGJT
C08457,OQOPFMDMSRLRRH-NSCUHMNNSA-N,OQOPFMDMSRLRRH
C07112,WAPNOHKVXSQRPX-UHFFFAOYSA-N,WAPNOHKVXSQRPX
C02455,RQEUFEKYXDPUSK-UHFFFAOYSA-N,RQEUFEKYXDPUSK
C08456,ACKWHAMNCLDPRO-UHFFFAOYSA-N,ACKWHAMNCLDPRO
C08285,VJZBXAQGWLMYMS-UHFFFAOYSA-N,VJZBXAQGWLMYMS
C11664,MNFADCCGRFHLCI-IFULQXDOSA-N,MNFADCCGRFHLCI
C11672,HOKQPTUPMSNUAF-OGJQONSISA-N,HOKQPTUPMSNUAF
C07493,BMPDWHIDQYTSHX-UHFFFAOYSA-N,BMPDWHIDQYTSHX
C11659,GTEDLLYKAJRTNK-UMHDANERSA-N,GTEDLLYKAJRTNK
C11660,LFIATFJGPFQPKL-YSPGLLNDSA-N,LFIATFJGPFQPKL
C09447,QUSNLLJZMPVTTC-MGJUGYCASA-N,QUSNLLJZMPVTTC
C09685,WWBNAQLGGJMUOJ-BIGGFVEDSA-N,WWBNAQLGGJMUOJ
C08807,PTCAIPUXGKZZBJ-CTYMYLBISA-N,PTCAIPUXGKZZBJ
C09212,KXFAUPPCQVBDBN-UHFFFAOYSA-N,KXFAUPPCQVBDBN
C11666,LMOCIFYNGJTLCQ-NALAVQKMSA-N,LMOCIFYNGJTLCQ
C06779,LUUJABHWSNILKN-ZMZKXLKISA-N,LUUJABHWSNILKN
C06774,KHCWAAXIQILFRK-CVDCTZTESA-N,KHCWAAXIQILFRK
C06776,IJJFUQHXTUKIGS-KADLPKKJSA-N,IJJFUQHXTUKIGS
C06778,ZYIREGFVRPWOMN-MAVRXOSISA-N,ZYIREGFVRPWOMN
C06775,ROFMCMXCPNFONV-SFTDATJTSA-N,ROFMCMXCPNFONV
C06773,WPQNJCYILUYTQH-MBSDFSHPSA-N,WPQNJCYILUYTQH
C05471,ACSFOIGNUQUIGE-AIPUTVCKSA-N,ACSFOIGNUQUIGE
C09143,ALKHEZOKTHCOBM-GTBZSHDQSA-N,ALKHEZOKTHCOBM
C09153,DYHBGVHTKOPQDM-SGPTVBMASA-N,DYHBGVHTKOPQDM
C08767,PUNWVWPDKCBXSA-RMOQNIQOSA-N,PUNWVWPDKCBXSA
C08673,GFWYSOWSJXKFFQ-ITNXDDNLSA-N,GFWYSOWSJXKFFQ
C08483,ILMHTGUGRLGMCR-LRIVTRFWSA-N,ILMHTGUGRLGMCR
C06391,CXDWHYOBSJTRJU-SRWWVFQWSA-N,CXDWHYOBSJTRJU
C05504,FQYGGFDZJFIDPU-JRSYHJKYSA-N,FQYGGFDZJFIDPU
C11675,AEXBRBWRPNGGEZ-FKBYEOEOSA-N,AEXBRBWRPNGGEZ
C06390,ZAKJZPQDUPCXSD-YRWKUUEZSA-N,ZAKJZPQDUPCXSD
C11346,CZGFLAQOJPXVRV-FLVROIOLSA-N,CZGFLAQOJPXVRV
C05300,WPOCIZJTELRQMF-QFXBJFAPSA-N,WPOCIZJTELRQMF
C09150,ATEDUZJBBLDWGB-MVJPYGJCSA-N,ATEDUZJBBLDWGB
C05499,PRZXKPDANWDCNC-IBQHSZKZSA-N,PRZXKPDANWDCNC
C11237,MTKNDAQYHASLID-QXYWQCSFSA-N,MTKNDAQYHASLID
C11289,VRMSCBRLZUCJBX-QXYWQCSFSA-N,VRMSCBRLZUCJBX
C11642,XDGRXQNYJMQLPU-VFZBCNBRSA-N,XDGRXQNYJMQLPU
C05294,YLTCTXBDDHSLCS-KOUJMVCDSA-N,YLTCTXBDDHSLCS
C05297,XRCFMDPVHKVRDJ-BGJMDTOESA-N,XRCFMDPVHKVRDJ
C11683,GRTOGORTSDXSFK-XIEZEKGWSA-N,GRTOGORTSDXSFK
